,Period,District,Parameter,MonthlyAverage,PDKnorm
6606,2022-11-01,поселение Роговское,Озон,0.0156,0.03
6607,2022-11-01,поселение Роговское,Диоксид серы,0.0014,0.05
6608,2022-11-01,поселение Троицк,Диоксид азота,0.024,0.04
6609,2022-11-01,поселение Новофедоровское,Диоксид азота,0.022,0.04
6610,2022-11-01,поселение Вороновское,Диоксид азота,0.018,0.04
6611,2022-11-01,поселение Вороновское,Озон,0.0248,0.03
6612,2022-11-01,поселение Вороновское,Диоксид серы,0.0011,0.05
6613,2022-11-01,Мещанский район,Диоксид азота,0.042,0.04
6614,2022-11-01,Мещанский район,Взвешенные частицы РМ10,0.025,0.04
6615,2022-11-01,Мещанский район,Диоксид серы,0.0041,0.05
6616,2022-11-01,Басманный район,Диоксид азота,0.042,0.04
6617,2022-11-01,Тверской район,Диоксид азота,0.041,0.04
6618,2022-11-01,Пресненский район,Диоксид азота,0.019,0.04
6619,2022-11-01,Пресненский район,Озон,0.0188,0.03
6620,2022-11-01,Пресненский район,Взвешенные частицы РМ10,0.017,0.04
6621,2022-11-01,Пресненский район,Диоксид серы,0.0013,0.05
6622,2022-11-01,район Хамовники,Диоксид азота,0.04,0.04
6623,2022-11-01,район Марьино,Диоксид азота,0.033,0.04
6624,2022-11-01,район Марьино,Озон,0.0155,0.03
6625,2022-11-01,район Марьино,Взвешенные частицы РМ10,0.017,0.04
6626,2022-11-01,район Марьино,Диоксид серы,0.003,0.05
6627,2022-11-01,район Люблино,Диоксид серы,0.0022,0.05
6628,2022-11-01,Рязанский район,Диоксид азота,0.032,0.04
6629,2022-11-01,Рязанский район,Взвешенные частицы РМ10,0.009,0.04
6630,2022-11-01,Рязанский район,Диоксид серы,0.0019,0.05
6631,2022-11-01,район Капотня,Диоксид азота,0.036,0.04
6632,2022-11-01,район Капотня,Диоксид серы,0.0039,0.05
6633,2022-11-01,район Печатники,Диоксид азота,0.035,0.04
6634,2022-11-01,район Печатники,Взвешенные частицы РМ10,0.018,0.04
6635,2022-11-01,район Печатники,Диоксид азота,0.044,0.04
6636,2022-11-01,район Печатники,Взвешенные частицы РМ10,0.024,0.04
6637,2022-11-01,район Печатники,Диоксид серы,0.0023,0.05
6638,2022-11-01,район Коньково,Диоксид азота,0.033,0.04
6639,2022-11-01,Академический район,Диоксид азота,0.025,0.04
6640,2022-11-01,Академический район,Взвешенные частицы РМ10,0.011,0.04
6641,2022-11-01,район Южное Бутово,Диоксид азота,0.036,0.04
6642,2022-11-01,район Южное Бутово,Взвешенные частицы РМ10,0.017,0.04
6643,2022-11-01,Донской район,Диоксид азота,0.039,0.04
6644,2022-11-01,Донской район,Взвешенные частицы РМ10,0.008,0.04
6645,2022-11-01,Донской район,Диоксид серы,0.0013,0.05
6646,2022-11-01,район Бирюлёво Западное,Диоксид азота,0.032,0.04
6647,2022-11-01,район Бирюлёво Западное,Диоксид серы,0.001,0.05
6648,2022-11-01,Даниловский район,Диоксид азота,0.05,0.04
6649,2022-11-01,Донской район,Диоксид азота,0.048,0.04
6650,2022-11-01,Донской район,Озон,0.0125,0.03
6651,2022-11-01,Донской район,Диоксид серы,0.002,0.05
6652,2022-11-01,район Орехово-Борисово Южное,Диоксид азота,0.029,0.04
6653,2022-11-01,район Царицыно,Диоксид азота,0.027,0.04
6654,2022-11-01,район Царицыно,Взвешенные частицы РМ10,0.016,0.04
6655,2022-12-01,район Метрогородок,Озон,0.0128,0.03
6656,2022-12-01,район Богородское,Диоксид азота,0.039,0.04
6657,2022-12-01,район Косино-Ухтомский,Диоксид азота,0.047,0.04
6658,2022-12-01,район Косино-Ухтомский,Озон,0.0155,0.03
6659,2022-12-01,район Косино-Ухтомский,Взвешенные частицы РМ10,0.014,0.04
6660,2022-12-01,район Косино-Ухтомский,Диоксид серы,0.0017,0.05
6661,2022-12-01,район Новокосино,Диоксид азота,0.054,0.04
6662,2022-12-01,район Раменки,Диоксид азота,0.037,0.04
6663,2022-12-01,район Раменки,Озон,0.0174,0.03
6664,2022-12-01,район Раменки,Взвешенные частицы РМ10,0.015,0.04
6665,2022-12-01,район Раменки,Диоксид серы,0.0006,0.05
6666,2022-12-01,район Тропарёво-Никулино,Диоксид азота,0.049,0.04
6667,2022-12-01,Можайский район,Диоксид азота,0.043,0.04
6668,2022-12-01,Можайский район,Озон,0.013,0.03
6669,2022-12-01,район Савёлки,Диоксид азота,0.038,0.04
6670,2022-12-01,район Силино,Диоксид азота,0.043,0.04
6671,2022-12-01,район Крюково,Диоксид азота,0.036,0.04
6672,2022-12-01,район Крюково,Взвешенные частицы РМ10,0.017,0.04
6673,2022-12-01,поселение Щербинка,Диоксид азота,0.051,0.04
6674,2022-12-01,район Аэропорт,Диоксид азота,0.047,0.04
6675,2022-12-01,район Аэропорт,Озон,0.0085,0.03
6676,2022-12-01,Дмитровский район,Диоксид азота,0.058,0.04
6677,2022-12-01,Дмитровский район,Взвешенные частицы РМ10,0.017,0.04
6678,2022-12-01,Дмитровский район,Диоксид серы,0.0016,0.05
6679,2022-12-01,район Коптево,Диоксид азота,0.048,0.04
6680,2022-12-01,Савёловский район,Диоксид азота,0.047,0.04
6681,2022-12-01,Савёловский район,Озон,0.0111,0.03
6682,2022-12-01,Савёловский район,Диоксид серы,0.0027,0.05
6683,2022-12-01,район Сокол,Диоксид азота,0.047,0.04
6684,2022-12-01,район Сокол,Диоксид серы,0.0027,0.05
6685,2022-12-01,район Западное Дегунино,Диоксид азота,0.045,0.04
6686,2022-12-01,район Южное Медведково,Диоксид азота,0.041,0.04
6687,2022-12-01,район Южное Медведково,Озон,0.0153,0.03
6688,2022-12-01,Останкинский район,Диоксид азота,0.052,0.04
6689,2022-12-01,Останкинский район,Озон,0.0137,0.03
6690,2022-12-01,Останкинский район,Взвешенные частицы РМ10,0.017,0.04
6691,2022-12-01,Останкинский район,Диоксид серы,0.0018,0.05
6692,2022-12-01,район Хорошёво-Мнёвники,Диоксид азота,0.054,0.04
6693,2022-12-01,район Хорошёво-Мнёвники,Взвешенные частицы РМ10,0.016,0.04
6694,2022-12-01,район Северное Тушино,Диоксид азота,0.041,0.04
6695,2022-12-01,район Северное Тушино,Озон,0.0136,0.03
6696,2022-12-01,поселение Роговское,Диоксид азота,0.023,0.04
6697,2022-12-01,поселение Роговское,Озон,0.0204,0.03
6698,2022-12-01,поселение Роговское,Диоксид серы,0.0023,0.05
6699,2022-12-01,поселение Троицк,Диоксид азота,0.03,0.04
6700,2022-12-01,поселение Новофедоровское,Диоксид азота,0.021,0.04
6701,2022-12-01,поселение Вороновское,Диоксид азота,0.019,0.04
6702,2022-12-01,поселение Вороновское,Озон,0.0323,0.03
6703,2022-12-01,поселение Вороновское,Диоксид серы,0.0023,0.05
6704,2022-12-01,Мещанский район,Диоксид азота,0.064,0.04
6705,2022-12-01,Мещанский район,Взвешенные частицы РМ10,0.023,0.04
6706,2022-12-01,Мещанский район,Диоксид серы,0.0025,0.05
6707,2022-12-01,Басманный район,Диоксид азота,0.052,0.04
6708,2022-12-01,Тверской район,Диоксид азота,0.057,0.04
6709,2022-12-01,Пресненский район,Диоксид азота,0.026,0.04
6710,2022-12-01,Пресненский район,Озон,0.0097,0.03
6711,2022-12-01,Пресненский район,Взвешенные частицы РМ10,0.017,0.04
6712,2022-12-01,Пресненский район,Диоксид серы,0.0022,0.05
6713,2022-12-01,район Хамовники,Диоксид азота,0.049,0.04
6714,2022-12-01,район Хамовники,Озон,0.0174,0.03
6715,2022-12-01,район Хамовники,Диоксид серы,0.0019,0.05
6716,2022-12-01,район Марьино,Диоксид азота,0.045,0.04
6717,2022-12-01,район Марьино,Озон,0.0129,0.03
6718,2022-12-01,район Марьино,Взвешенные частицы РМ10,0.019,0.04
6719,2022-12-01,район Марьино,Диоксид серы,0.0031,0.05
6720,2022-12-01,район Люблино,Диоксид азота,0.052,0.04
6721,2022-12-01,район Люблино,Диоксид серы,0.0021,0.05
6722,2022-12-01,Рязанский район,Диоксид азота,0.045,0.04
6723,2022-12-01,Рязанский район,Взвешенные частицы РМ10,0.01,0.04
6724,2022-12-01,Рязанский район,Диоксид серы,0.0027,0.05
6725,2022-12-01,район Капотня,Диоксид азота,0.047,0.04
6726,2022-12-01,район Капотня,Диоксид серы,0.0025,0.05
6727,2022-12-01,район Люблино,Диоксид азота,0.058,0.04
6728,2022-12-01,район Люблино,Диоксид серы,0.0034,0.05
6729,2022-12-01,район Печатники,Диоксид азота,0.046,0.04
6730,2022-12-01,район Печатники,Взвешенные частицы РМ10,0.017,0.04
6731,2022-12-01,район Печатники,Диоксид серы,0.0008,0.05
6732,2022-12-01,район Печатники,Диоксид азота,0.055,0.04
6733,2022-12-01,район Печатники,Взвешенные частицы РМ10,0.022,0.04
6734,2022-12-01,район Печатники,Диоксид серы,0.0028,0.05
6735,2022-12-01,район Коньково,Диоксид азота,0.042,0.04
6736,2022-12-01,Академический район,Диоксид азота,0.025,0.04
6737,2022-12-01,Академический район,Взвешенные частицы РМ10,0.011,0.04
6738,2022-12-01,район Южное Бутово,Диоксид азота,0.037,0.04
6739,2022-12-01,район Южное Бутово,Взвешенные частицы РМ10,0.013,0.04
6740,2022-12-01,район Бирюлёво Западное,Диоксид азота,0.041,0.04
6741,2022-12-01,район Бирюлёво Западное,Диоксид серы,0.0014,0.05
6742,2022-12-01,Донской район,Диоксид азота,0.062,0.04
6743,2022-12-01,Донской район,Озон,0.0159,0.03
6744,2022-12-01,Донской район,Диоксид серы,0.001,0.05
6745,2022-12-01,район Орехово-Борисово Южное,Диоксид азота,0.037,0.04
6746,2022-12-01,район Царицыно,Диоксид азота,0.034,0.04
6747,2022-12-01,район Царицыно,Взвешенные частицы РМ10,0.015,0.04
6748,2023-02-01,район Метрогородок,Диоксид азота,0.025,0.04
6749,2023-02-01,район Метрогородок,Озон,0.0371,0.03
6750,2023-02-01,район Богородское,Диоксид азота,0.032,0.04
6751,2023-02-01,район Косино-Ухтомский,Диоксид азота,0.045,0.04
6752,2023-02-01,район Косино-Ухтомский,Озон,0.0402,0.03
6753,2023-02-01,район Косино-Ухтомский,Взвешенные частицы РМ10,0.014,0.04
6754,2023-02-01,район Косино-Ухтомский,Диоксид серы,0.002,0.05
6755,2023-02-01,район Новокосино,Диоксид азота,0.047,0.04
6756,2023-02-01,район Раменки,Диоксид азота,0.031,0.04
6757,2023-02-01,район Раменки,Озон,0.041,0.03
6758,2023-02-01,район Раменки,Взвешенные частицы РМ10,0.013,0.04
6759,2023-02-01,район Раменки,Диоксид серы,0.0008,0.05
6760,2023-02-01,Можайский район,Диоксид азота,0.038,0.04
6761,2023-02-01,Можайский район,Озон,0.0332,0.03
6762,2023-02-01,район Савёлки,Диоксид азота,0.029,0.04
6763,2023-02-01,район Силино,Диоксид азота,0.03,0.04
6764,2023-02-01,район Крюково,Диоксид азота,0.035,0.04
6765,2023-02-01,район Крюково,Взвешенные частицы РМ10,0.014,0.04
6766,2023-02-01,поселение Щербинка,Диоксид азота,0.042,0.04
6767,2023-02-01,район Аэропорт,Диоксид азота,0.048,0.04
6768,2023-02-01,район Аэропорт,Озон,0.0219,0.03
6769,2023-02-01,Дмитровский район,Диоксид азота,0.043,0.04
6770,2023-02-01,Дмитровский район,Взвешенные частицы РМ10,0.014,0.04
6771,2023-02-01,район Коптево,Диоксид азота,0.039,0.04
6772,2023-02-01,Савёловский район,Диоксид азота,0.056,0.04
6773,2023-02-01,Савёловский район,Озон,0.0235,0.03
6774,2023-02-01,Савёловский район,Диоксид серы,0.002,0.05
6775,2023-02-01,район Сокол,Диоксид серы,0.0015,0.05
6776,2023-02-01,район Западное Дегунино,Диоксид азота,0.037,0.04
6777,2023-02-01,район Южное Медведково,Диоксид азота,0.036,0.04
6778,2023-02-01,район Южное Медведково,Озон,0.0448,0.03
6779,2023-02-01,Останкинский район,Диоксид азота,0.039,0.04
6780,2023-02-01,Останкинский район,Озон,0.0434,0.03
6781,2023-02-01,Останкинский район,Взвешенные частицы РМ10,0.015,0.04
6782,2023-02-01,Останкинский район,Диоксид серы,0.0024,0.05
6783,2023-02-01,район Хорошёво-Мнёвники,Диоксид азота,0.046,0.04
6784,2023-02-01,район Хорошёво-Мнёвники,Взвешенные частицы РМ10,0.012,0.04
6785,2023-02-01,район Северное Тушино,Диоксид азота,0.035,0.04
6786,2023-02-01,район Северное Тушино,Озон,0.0352,0.03
6787,2023-02-01,поселение Роговское,Диоксид азота,0.01,0.04
6788,2023-02-01,поселение Роговское,Озон,0.0316,0.03
6789,2023-02-01,поселение Роговское,Диоксид серы,0.0016,0.05
6790,2023-02-01,поселение Троицк,Диоксид азота,0.025,0.04
6791,2023-02-01,поселение Новофедоровское,Диоксид азота,0.017,0.04
6792,2023-02-01,поселение Вороновское,Диоксид азота,0.015,0.04
6793,2023-02-01,поселение Вороновское,Озон,0.0569,0.03
6794,2023-02-01,поселение Вороновское,Диоксид серы,0.0006,0.05
6795,2023-02-01,Мещанский район,Диоксид азота,0.046,0.04
6796,2023-02-01,Мещанский район,Взвешенные частицы РМ10,0.02,0.04
6797,2023-02-01,Мещанский район,Диоксид серы,0.0005,0.05
6798,2023-02-01,Басманный район,Диоксид азота,0.046,0.04
6799,2023-02-01,Тверской район,Диоксид азота,0.052,0.04
6800,2023-02-01,Пресненский район,Диоксид азота,0.017,0.04
6801,2023-02-01,Пресненский район,Озон,0.0263,0.03
6802,2023-02-01,Пресненский район,Взвешенные частицы РМ10,0.016,0.04
6803,2023-02-01,Пресненский район,Диоксид серы,0.0026,0.05
6804,2023-02-01,район Хамовники,Диоксид азота,0.046,0.04
6805,2023-02-01,район Хамовники,Озон,0.0324,0.03
6806,2023-02-01,район Хамовники,Диоксид серы,0.0016,0.05
6807,2023-02-01,район Марьино,Диоксид азота,0.042,0.04
6808,2023-02-01,район Марьино,Озон,0.0325,0.03
6809,2023-02-01,район Марьино,Взвешенные частицы РМ10,0.016,0.04
6810,2023-02-01,район Марьино,Диоксид серы,0.0029,0.05
6811,2023-02-01,район Люблино,Диоксид серы,0.0015,0.05
6812,2023-02-01,Рязанский район,Диоксид азота,0.038,0.04
6813,2023-02-01,Рязанский район,Взвешенные частицы РМ10,0.01,0.04
6814,2023-02-01,Рязанский район,Диоксид серы,0.002,0.05
6815,2023-02-01,район Капотня,Диоксид азота,0.045,0.04
6816,2023-02-01,район Капотня,Диоксид серы,0.0033,0.05
6817,2023-02-01,район Люблино,Диоксид азота,0.024,0.04
6818,2023-02-01,район Люблино,Диоксид серы,0.0031,0.05
6819,2023-02-01,район Печатники,Диоксид азота,0.041,0.04
6820,2023-02-01,район Печатники,Взвешенные частицы РМ10,0.016,0.04
6821,2023-02-01,район Печатники,Диоксид серы,0.0004,0.05
6822,2023-02-01,район Печатники,Диоксид азота,0.055,0.04
6823,2023-02-01,район Печатники,Диоксид серы,0.002,0.05
6824,2023-02-01,район Коньково,Диоксид азота,0.037,0.04
6825,2023-02-01,Академический район,Диоксид азота,0.027,0.04
6826,2023-02-01,Академический район,Взвешенные частицы РМ10,0.009,0.04
6827,2023-02-01,район Южное Бутово,Диоксид азота,0.04,0.04
6828,2023-02-01,район Южное Бутово,Взвешенные частицы РМ10,0.011,0.04
6829,2023-02-01,Донской район,Диоксид азота,0.038,0.04
6830,2023-02-01,Донской район,Взвешенные частицы РМ10,0.011,0.04
6831,2023-02-01,Донской район,Диоксид серы,0.0014,0.05
6832,2023-02-01,район Бирюлёво Западное,Диоксид азота,0.049,0.04
6833,2023-02-01,район Бирюлёво Западное,Диоксид серы,0.0016,0.05
6834,2023-02-01,Даниловский район,Диоксид азота,0.06,0.04
6835,2023-02-01,Даниловский район,Озон,0.0159,0.03
6836,2023-02-01,Даниловский район,Диоксид серы,0.0014,0.05
6837,2023-02-01,Донской район,Диоксид азота,0.057,0.04
6838,2023-02-01,Донской район,Озон,0.0226,0.03
6839,2023-02-01,Донской район,Диоксид серы,0.0019,0.05
6840,2023-02-01,район Орехово-Борисово Южное,Диоксид азота,0.036,0.04
6841,2023-02-01,район Царицыно,Диоксид азота,0.034,0.04
6842,2023-02-01,район Царицыно,Взвешенные частицы РМ10,0.013,0.04
6843,2023-03-01,район Метрогородок,Диоксид азота,0.02,0.04
6844,2023-03-01,район Метрогородок,Озон,0.0396,0.03
6845,2023-03-01,район Богородское,Диоксид азота,0.037,0.04
6846,2023-03-01,район Косино-Ухтомский,Диоксид азота,0.051,0.04
6847,2023-03-01,район Косино-Ухтомский,Озон,0.0433,0.03
6848,2023-03-01,район Косино-Ухтомский,Взвешенные частицы РМ10,0.013,0.04
6849,2023-03-01,район Косино-Ухтомский,Диоксид серы,0.0016,0.05
6850,2023-03-01,район Новокосино,Диоксид азота,0.053,0.04
6851,2023-03-01,район Раменки,Диоксид азота,0.03,0.04
6852,2023-03-01,район Раменки,Озон,0.0484,0.03
6853,2023-03-01,район Раменки,Взвешенные частицы РМ10,0.013,0.04
6854,2023-03-01,район Раменки,Диоксид серы,0.0009,0.05
6855,2023-03-01,район Тропарёво-Никулино,Диоксид азота,0.044,0.04
6856,2023-03-01,Можайский район,Диоксид азота,0.04,0.04
6857,2023-03-01,Можайский район,Озон,0.0381,0.03
6858,2023-03-01,район Савёлки,Диоксид азота,0.033,0.04
6859,2023-03-01,район Силино,Диоксид азота,0.036,0.04
6860,2023-03-01,район Крюково,Диоксид азота,0.037,0.04
6861,2023-03-01,район Крюково,Взвешенные частицы РМ10,0.014,0.04
6862,2023-03-01,поселение Щербинка,Диоксид азота,0.037,0.04
6863,2023-03-01,район Аэропорт,Диоксид азота,0.052,0.04
6864,2023-03-01,район Аэропорт,Озон,0.0264,0.03
6865,2023-03-01,Дмитровский район,Взвешенные частицы РМ10,0.016,0.04
6866,2023-03-01,Дмитровский район,Диоксид серы,0.0008,0.05
6867,2023-03-01,район Коптево,Диоксид азота,0.041,0.04
6868,2023-03-01,Савёловский район,Диоксид азота,0.07,0.04
6869,2023-03-01,Савёловский район,Озон,0.0245,0.03
6870,2023-03-01,Савёловский район,Диоксид серы,0.0015,0.05
6871,2023-03-01,район Сокол,Диоксид азота,0.036,0.04
6872,2023-03-01,район Сокол,Диоксид серы,0.0015,0.05
6873,2023-03-01,район Западное Дегунино,Диоксид азота,0.039,0.04
6874,2023-03-01,район Южное Медведково,Диоксид азота,0.04,0.04
6875,2023-03-01,Останкинский район,Диоксид азота,0.042,0.04
6876,2023-03-01,Останкинский район,Озон,0.0491,0.03
6877,2023-03-01,Останкинский район,Взвешенные частицы РМ10,0.016,0.04
6878,2023-03-01,Останкинский район,Диоксид серы,0.0022,0.05
6879,2023-03-01,район Хорошёво-Мнёвники,Диоксид азота,0.052,0.04
6880,2023-03-01,район Хорошёво-Мнёвники,Взвешенные частицы РМ10,0.018,0.04
6881,2023-03-01,район Северное Тушино,Диоксид азота,0.039,0.04
6882,2023-03-01,район Северное Тушино,Озон,0.0387,0.03
6883,2023-03-01,поселение Роговское,Диоксид азота,0.009,0.04
6884,2023-03-01,поселение Роговское,Озон,0.037,0.03
6885,2023-03-01,поселение Роговское,Диоксид серы,0.0017,0.05
6886,2023-03-01,поселение Троицк,Диоксид азота,0.03,0.04
6887,2023-03-01,поселение Новофедоровское,Диоксид азота,0.017,0.04
6888,2023-03-01,поселение Вороновское,Диоксид азота,0.013,0.04
6889,2023-03-01,поселение Вороновское,Озон,0.0625,0.03
6890,2023-03-01,поселение Вороновское,Диоксид серы,0.0008,0.05
6891,2023-03-01,Мещанский район,Диоксид азота,0.05,0.04
6892,2023-03-01,Мещанский район,Взвешенные частицы РМ10,0.028,0.04
6893,2023-03-01,Басманный район,Диоксид азота,0.05,0.04
6894,2023-03-01,Тверской район,Диоксид азота,0.054,0.04
6895,2023-03-01,Пресненский район,Диоксид азота,0.014,0.04
6896,2023-03-01,Пресненский район,Озон,0.0327,0.03
6897,2023-03-01,Пресненский район,Взвешенные частицы РМ10,0.017,0.04
6898,2023-03-01,Пресненский район,Диоксид серы,0.0021,0.05
6899,2023-03-01,район Хамовники,Диоксид азота,0.061,0.04
6900,2023-03-01,район Хамовники,Озон,0.0446,0.03
6901,2023-03-01,район Хамовники,Диоксид серы,0.0013,0.05
6902,2023-03-01,район Марьино,Диоксид азота,0.046,0.04
6903,2023-03-01,район Марьино,Озон,0.0355,0.03
6904,2023-03-01,район Марьино,Взвешенные частицы РМ10,0.016,0.04
6905,2023-03-01,район Марьино,Диоксид серы,0.003,0.05
6906,2023-03-01,район Люблино,Диоксид азота,0.066,0.04
6907,2023-03-01,район Люблино,Диоксид серы,0.0018,0.05
6908,2023-03-01,Рязанский район,Диоксид азота,0.042,0.04
6909,2023-03-01,Рязанский район,Взвешенные частицы РМ10,0.012,0.04
6910,2023-03-01,Рязанский район,Диоксид серы,0.002,0.05
6911,2023-03-01,район Капотня,Диоксид азота,0.05,0.04
6912,2023-03-01,район Капотня,Диоксид серы,0.0042,0.05
6913,2023-03-01,район Люблино,Диоксид азота,0.025,0.04
6914,2023-03-01,район Люблино,Диоксид серы,0.0062,0.05
6915,2023-03-01,район Печатники,Диоксид азота,0.045,0.04
6916,2023-03-01,район Печатники,Взвешенные частицы РМ10,0.016,0.04
6917,2023-03-01,район Печатники,Диоксид серы,0.0009,0.05
6918,2023-03-01,район Печатники,Диоксид азота,0.051,0.04
6919,2023-03-01,район Печатники,Взвешенные частицы РМ10,0.021,0.04
6920,2023-03-01,район Печатники,Диоксид серы,0.0038,0.05
6921,2023-03-01,район Коньково,Диоксид азота,0.039,0.04
6922,2023-03-01,Академический район,Диоксид азота,0.027,0.04
6923,2023-03-01,Академический район,Взвешенные частицы РМ10,0.009,0.04
6924,2023-03-01,район Южное Бутово,Диоксид азота,0.04,0.04
6925,2023-03-01,район Южное Бутово,Взвешенные частицы РМ10,0.014,0.04
6926,2023-03-01,Донской район,Диоксид азота,0.049,0.04
6927,2023-03-01,Донской район,Взвешенные частицы РМ10,0.011,0.04
6928,2023-03-01,Донской район,Диоксид серы,0.0024,0.05
6929,2023-03-01,район Бирюлёво Западное,Диоксид азота,0.053,0.04
6930,2023-03-01,район Бирюлёво Западное,Диоксид серы,0.0021,0.05
6931,2023-03-01,Даниловский район,Диоксид азота,0.087,0.04
6932,2023-03-01,Даниловский район,Озон,0.0154,0.03
6933,2023-03-01,Даниловский район,Диоксид серы,0.0014,0.05
6934,2023-03-01,Донской район,Диоксид азота,0.061,0.04
6935,2023-03-01,Донской район,Озон,0.019,0.03
6936,2023-03-01,Донской район,Диоксид серы,0.0013,0.05
6937,2023-03-01,район Орехово-Борисово Южное,Диоксид азота,0.04,0.04
6938,2023-03-01,район Царицыно,Диоксид азота,0.037,0.04
6939,2023-03-01,район Царицыно,Взвешенные частицы РМ10,0.013,0.04
6940,2023-04-01,район Метрогородок,Диоксид азота,0.036,0.04
6941,2023-04-01,район Метрогородок,Озон,0.0456,0.03
6942,2023-04-01,район Богородское,Диоксид азота,0.053,0.04
6943,2023-04-01,район Косино-Ухтомский,Диоксид азота,0.045,0.04
6944,2023-04-01,район Косино-Ухтомский,Озон,0.0608,0.03
6945,2023-04-01,район Косино-Ухтомский,Взвешенные частицы РМ10,0.026,0.04
6946,2023-04-01,район Косино-Ухтомский,Диоксид серы,0.003,0.05
6947,2023-04-01,район Новокосино,Диоксид азота,0.046,0.04
6948,2023-04-01,район Раменки,Диоксид азота,0.039,0.04
6949,2023-04-01,район Раменки,Озон,0.0569,0.03
6950,2023-04-01,район Раменки,Взвешенные частицы РМ10,0.034,0.04
6951,2023-04-01,район Раменки,Диоксид серы,0.0019,0.05
6952,2023-04-01,район Тропарёво-Никулино,Диоксид азота,0.053,0.04
6953,2023-04-01,Можайский район,Диоксид азота,0.052,0.04
6954,2023-04-01,Можайский район,Озон,0.0361,0.03
6955,2023-04-01,район Савёлки,Диоксид азота,0.04,0.04
6956,2023-04-01,район Силино,Диоксид азота,0.041,0.04
6957,2023-04-01,район Крюково,Диоксид азота,0.048,0.04
6958,2023-04-01,район Крюково,Взвешенные частицы РМ10,0.058,0.04
6959,2023-04-01,поселение Щербинка,Диоксид азота,0.046,0.04
6960,2023-04-01,район Аэропорт,Диоксид азота,0.066,0.04
6961,2023-04-01,район Аэропорт,Озон,0.0218,0.03
6962,2023-04-01,Дмитровский район,Диоксид азота,0.058,0.04
6963,2023-04-01,Дмитровский район,Взвешенные частицы РМ10,0.062,0.04
6964,2023-04-01,Дмитровский район,Диоксид серы,0.0016,0.05
6965,2023-04-01,район Коптево,Диоксид азота,0.047,0.04
6966,2023-04-01,Савёловский район,Диоксид азота,0.084,0.04
6967,2023-04-01,район Сокол,Диоксид азота,0.066,0.04
6968,2023-04-01,район Западное Дегунино,Диоксид азота,0.049,0.04
6969,2023-04-01,район Южное Медведково,Озон,0.0444,0.03
6970,2023-04-01,Останкинский район,Диоксид азота,0.05,0.04
6971,2023-04-01,Останкинский район,Озон,0.0497,0.03
6972,2023-04-01,Останкинский район,Взвешенные частицы РМ10,0.043,0.04
6973,2023-04-01,район Хорошёво-Мнёвники,Диоксид азота,0.063,0.04
6974,2023-04-01,район Хорошёво-Мнёвники,Взвешенные частицы РМ10,0.048,0.04
6975,2023-04-01,район Северное Тушино,Диоксид азота,0.052,0.04
6976,2023-04-01,район Северное Тушино,Озон,0.0554,0.03
6977,2023-04-01,поселение Роговское,Диоксид азота,0.014,0.04
6978,2023-04-01,поселение Роговское,Озон,0.0285,0.03
6979,2023-04-01,поселение Роговское,Диоксид серы,0.0009,0.05
6980,2023-04-01,поселение Троицк,Диоксид азота,0.04,0.04
6981,2023-04-01,поселение Новофедоровское,Диоксид азота,0.021,0.04
6982,2023-04-01,поселение Вороновское,Диоксид азота,0.018,0.04
6983,2023-04-01,поселение Вороновское,Озон,0.0451,0.03
6984,2023-04-01,поселение Вороновское,Диоксид серы,0.0009,0.05
6985,2023-04-01,Мещанский район,Взвешенные частицы РМ10,0.071,0.04
6986,2023-04-01,Мещанский район,Диоксид серы,0.0015,0.05
6987,2023-04-01,Басманный район,Диоксид азота,0.057,0.04
6988,2023-04-01,Тверской район,Диоксид азота,0.062,0.04
6989,2023-04-01,Пресненский район,Диоксид азота,0.05,0.04
6990,2023-04-01,Пресненский район,Озон,0.04,0.03
6991,2023-04-01,Пресненский район,Взвешенные частицы РМ10,0.041,0.04
6992,2023-04-01,Пресненский район,Диоксид серы,0.004,0.05
6993,2023-04-01,район Хамовники,Диоксид азота,0.076,0.04
6994,2023-04-01,район Хамовники,Озон,0.0375,0.03
6995,2023-04-01,район Хамовники,Диоксид серы,0.0012,0.05
6996,2023-04-01,район Марьино,Диоксид азота,0.048,0.04
6997,2023-04-01,район Марьино,Взвешенные частицы РМ10,0.043,0.04
6998,2023-04-01,район Марьино,Диоксид серы,0.0043,0.05
6999,2023-04-01,район Люблино,Диоксид азота,0.075,0.04
7000,2023-04-01,район Люблино,Диоксид серы,0.0025,0.05
7001,2023-04-01,Рязанский район,Диоксид азота,0.047,0.04
7002,2023-04-01,Рязанский район,Взвешенные частицы РМ10,0.033,0.04
7003,2023-04-01,Рязанский район,Диоксид серы,0.0039,0.05
7004,2023-04-01,район Капотня,Диоксид азота,0.058,0.04
7005,2023-04-01,район Капотня,Диоксид серы,0.0102,0.05
7006,2023-04-01,район Люблино,Диоксид азота,0.027,0.04
7007,2023-04-01,район Люблино,Диоксид серы,0.0062,0.05
7008,2023-04-01,район Печатники,Диоксид азота,0.049,0.04
7009,2023-04-01,район Печатники,Взвешенные частицы РМ10,0.041,0.04
7010,2023-04-01,район Печатники,Диоксид серы,0.0022,0.05
7011,2023-04-01,район Печатники,Диоксид азота,0.066,0.04
7012,2023-04-01,район Печатники,Взвешенные частицы РМ10,0.091,0.04
7013,2023-04-01,район Печатники,Диоксид серы,0.0043,0.05
